    72/149     20.6G   0.03526    0.1116         0    0.1469      1627       640    0.8482    0.8585    0.9236     0.532   0.07554    0.6546         0
    73/149     20.6G   0.03553    0.1085         0     0.144      1414       640    0.8193    0.8832    0.9234    0.5322   0.07309    0.6537         0
    74/149     20.6G   0.03525    0.1125         0    0.1478      1405       640    0.8366    0.8646    0.9234    0.5387   0.07192    0.6587         0
    75/149     20.6G   0.03597    0.1131         0    0.1491      1518       640    0.8415    0.8535    0.9213    0.5218   0.07228    0.6799         0
    76/149     20.6G   0.03568    0.1115         0    0.1472      1490       640    0.8301    0.8729    0.9221     0.523   0.07475    0.6519         0
    77/149     20.6G    0.0346    0.1079         0    0.1425      1087       640    0.8152    0.8807    0.9187    0.5376     0.072    0.6682         0
    78/149     20.6G   0.03578     0.112         0    0.1478      1865       640    0.7896    0.9066    0.9164    0.5266   0.07492    0.6671         0
    79/149     20.6G   0.03493    0.1196         0    0.1545      2236       640    0.8227    0.8665    0.9174    0.5289   0.07423    0.6538         0
    80/149     20.6G   0.03697    0.1119         0    0.1489      1768       640    0.8217    0.8721    0.9181    0.5263   0.07452    0.6845         0
    81/149     20.6G   0.03592    0.1105         0    0.1464      2046       640    0.8246    0.8627    0.9151    0.5285   0.07379    0.6666         0
    82/149     20.6G   0.03506    0.1096         0    0.1447      1302       640    0.8237    0.8677    0.9196    0.5301   0.07429    0.6544         0
    83/149     20.6G   0.03456    0.1125         0    0.1471      2152       640     0.806    0.8912    0.9163     0.472   0.07511    0.6459         0
    84/149     20.6G    0.0359    0.1101         0     0.146      1016       640      0.82    0.8813    0.9201    0.5079    0.0763     0.648         0
    85/149     20.6G   0.03553    0.1108         0    0.1463      1481       640    0.8425    0.8597    0.9155    0.5316   0.07389     0.649         0
    86/149     20.6G   0.03449    0.1061         0    0.1405      1627       640    0.8388     0.862     0.917    0.5153    0.0744    0.6461         0
    87/149     20.6G   0.03409    0.1102         0    0.1443      1796       640    0.8406    0.8639    0.9216    0.5338   0.07372     0.655         0
